ITM,HND,NTT016,NTT001
SPK,KIX,NTT021,NTT006
OKA,HND,NTT018,NTT013
FUK,NRT,NTT004,NTT003
OKA,UKB,NTT007,NTT005
OKA,ITM,NTT009,NTT008
SPK,NGO,NTT011,NTT010
SPK,HND,NTT017,NTT012
KIX,HND,NTT019,NTT014
FUK,HND,NTT020,NTT015
HND,ITM,NTT031,NTT046
KIX,SPK,NTT036,NTT051
HND,OKA,NTT043,NTT048
NRT,FUK,NTT033,NTT034
UKB,OKA,NTT035,NTT037
ITM,OKA,NTT038,NTT039
NGO,SPK,NTT040,NTT041
HND,SPK,NTT042,NTT047
HND,KIX,NTT044,NTT049
HND,FUK,NTT045,NTT050
KIX,NRT,XXX002,XXX001
NGO,FUK,XXX004,XXX003
SPK,ITM,AAA001,XXX005
OKA,NRT,AAA003,AAA002
KIX,NGO,AAA005,AAA004
FUK,SPK,BBB002,BBB001
NGO,ITM,BBB004,BBB003
SPK,OKA,CCC001,BBB005
HND,UKB,CCC003,CCC002
KIX,FUK,CCC005,CCC004
NRT,KIX,XXX031,XXX032
FUK,NGO,XXX033,XXX034
ITM,SPK,XXX035,AAA031
NRT,OKA,AAA032,AAA033
NGO,KIX,AAA034,AAA035
SPK,FUK,BBB031,BBB032
ITM,NGO,BBB033,BBB034
OKA,SPK,BBB035,CCC031
UKB,HND,CCC032,CCC033
FUK,KIX,CCC034,CCC035
ITM,HND,NTT076,NTT061
SPK,KIX,NTT081,NTT066
OKA,HND,NTT078,NTT073
FUK,NRT,NTT064,NTT063
OKA,UKB,NTT067,NTT065
OKA,ITM,NTT069,NTT068
SPK,NGO,NTT071,NTT070
SPK,HND,NTT077,NTT072
KIX,HND,NTT079,NTT074
FUK,HND,NTT080,NTT075
HND,ITM,NTT091,NTT106
KIX,SPK,NTT096,NTT111
HND,OKA,NTT103,NTT108
NRT,FUK,NTT093,NTT094
UKB,OKA,NTT095,NTT097
ITM,OKA,NTT098,NTT099
NGO,SPK,NTT100,NTT101
HND,SPK,NTT102,NTT107
HND,KIX,NTT104,NTT109
HND,FUK,NTT105,NTT110
KIX,NRT,XXX062,XXX061
NGO,FUK,XXX064,XXX063
SPK,ITM,AAA061,XXX065
OKA,NRT,AAA063,AAA062
KIX,NGO,AAA065,AAA064
FUK,SPK,BBB062,BBB061
NGO,ITM,BBB064,BBB063
SPK,OKA,CCC061,BBB065
HND,UKB,CCC063,CCC062
KIX,FUK,CCC065,CCC064
NRT,KIX,XXX091,XXX092
FUK,NGO,XXX093,XXX094
ITM,SPK,AAA091,XXX095
NRT,OKA,AAA092,AAA093
NGO,KIX,AAA094,AAA095
SPK,FUK,BBB091,BBB092
ITM,NGO,BBB093,BBB094
OKA,SPK,BBB095,CCC091
UKB,HND,CCC092,CCC093
FUK,KIX,CCC094,CCC095
ITM,HND,NTT136,NTT121
SPK,KIX,NTT141,NTT126
OKA,HND,NTT138,NTT133
FUK,NRT,NTT124,NTT123
OKA,UKB,NTT127,NTT125
OKA,ITM,NTT129,NTT128
SPK,NGO,NTT131,NTT130
SPK,HND,NTT137,NTT132
KIX,HND,NTT139,NTT134
FUK,HND,NTT140,NTT135
HND,ITM,NTT151,NTT166
KIX,SPK,NTT156,NTT171
HND,OKA,NTT163,NTT168
NRT,FUK,NTT153,NTT154
UKB,OKA,NTT155,NTT157
ITM,OKA,NTT158,NTT159
NGO,SPK,NTT160,NTT161
HND,SPK,NTT162,NTT167
HND,KIX,NTT164,NTT169
HND,FUK,NTT165,NTT170
KIX,NRT,XXX122,XXX121
NGO,FUK,XXX124,XXX123
SPK,ITM,AAA121,XXX125
OKA,NRT,AAA123,AAA122
KIX,NGO,AAA125,AAA124
FUK,SPK,BBB122,BBB121
NGO,ITM,BBB124,BBB123
SPK,OKA,CCC121,BBB125
HND,UKB,CCC123,CCC122
KIX,FUK,CCC125,CCC124
NRT,KIX,XXX151,XXX152
FUK,NGO,XXX153,XXX154
ITM,SPK,XXX155,AAA151
NRT,OKA,AAA152,AAA153
NGO,KIX,AAA154,AAA155
SPK,FUK,BBB151,BBB152
ITM,NGO,BBB153,BBB154
OKA,SPK,BBB155,CCC151
UKB,HND,CCC152,CCC153
FUK,KIX,CCC154,CCC155
ITM,HND,NTT196,NTT181
SPK,KIX,NTT201,NTT186
OKA,HND,NTT198,NTT193
FUK,NRT,NTT184,NTT183
OKA,UKB,NTT187,NTT185
OKA,ITM,NTT189,NTT188
SPK,NGO,NTT191,NTT190
SPK,HND,NTT197,NTT192
KIX,HND,NTT199,NTT194
FUK,HND,NTT200,NTT195
HND,ITM,NTT211,NTT226
KIX,SPK,NTT216,NTT231
HND,OKA,NTT223,NTT228
NRT,FUK,NTT213,NTT214
UKB,OKA,NTT215,NTT217
ITM,OKA,NTT218,NTT219
NGO,SPK,NTT220,NTT221
HND,SPK,NTT222,NTT227
HND,KIX,NTT224,NTT229
HND,FUK,NTT225,NTT230
KIX,NRT,XXX182,XXX181
NGO,FUK,XXX184,XXX183
SPK,ITM,AAA181,XXX185
OKA,NRT,AAA183,AAA182
KIX,NGO,AAA185,AAA184
FUK,SPK,BBB182,BBB181
NGO,ITM,BBB184,BBB183
SPK,OKA,CCC181,BBB185
HND,UKB,CCC183,CCC182
KIX,FUK,CCC185,CCC184
NRT,KIX,XXX211,XXX212
FUK,NGO,XXX213,XXX214
ITM,SPK,XXX215,AAA211
NRT,OKA,AAA212,AAA213
NGO,KIX,AAA214,AAA215
SPK,FUK,BBB211,BBB212
ITM,NGO,BBB213,BBB214
OKA,SPK,BBB215,CCC211
UKB,HND,CCC212,CCC213
FUK,KIX,CCC214,CCC215
ITM,HND,NTT256,NTT241
SPK,KIX,NTT261,NTT246
OKA,HND,NTT258,NTT253
FUK,NRT,NTT244,NTT243
OKA,UKB,NTT247,NTT245
OKA,ITM,NTT249,NTT248
SPK,NGO,NTT251,NTT250
SPK,HND,NTT257,NTT252
KIX,HND,NTT259,NTT254
FUK,HND,NTT260,NTT255
HND,ITM,NTT271,NTT286
KIX,SPK,NTT276,NTT291
HND,OKA,NTT283,NTT288
NRT,FUK,NTT273,NTT274
UKB,OKA,NTT275,NTT277
ITM,OKA,NTT278,NTT279
NGO,SPK,NTT280,NTT281
HND,SPK,NTT282,NTT287
HND,KIX,NTT284,NTT289
HND,FUK,NTT285,NTT290
KIX,NRT,XXX242,XXX241
NGO,FUK,XXX244,XXX243
SPK,ITM,AAA241,XXX245
OKA,NRT,AAA243,AAA242
KIX,NGO,AAA245,AAA244
FUK,SPK,BBB242,BBB241
NGO,ITM,BBB244,BBB243
SPK,OKA,CCC241,BBB245
HND,UKB,CCC243,CCC242
KIX,FUK,CCC245,CCC244
NRT,KIX,XXX271,XXX272
FUK,NGO,XXX273,XXX274
ITM,SPK,XXX275,AAA271
NRT,OKA,AAA272,AAA273
NGO,KIX,AAA274,AAA275
SPK,FUK,BBB271,BBB272
ITM,NGO,BBB273,BBB274
OKA,SPK,BBB275,CCC271
UKB,HND,CCC272,CCC273
FUK,KIX,CCC274,CCC275
ITM,HND,NTT316,NTT301
SPK,KIX,NTT321,NTT306
OKA,HND,NTT318,NTT313
FUK,NRT,NTT304,NTT303
OKA,UKB,NTT307,NTT305
OKA,ITM,NTT309,NTT308
SPK,NGO,NTT311,NTT310
SPK,HND,NTT317,NTT312
KIX,HND,NTT319,NTT314
FUK,HND,NTT320,NTT315
HND,ITM,NTT331,NTT346
KIX,SPK,NTT336,NTT351
HND,OKA,NTT343,NTT348
NRT,FUK,NTT333,NTT334
UKB,OKA,NTT335,NTT337
ITM,OKA,NTT338,NTT339
NGO,SPK,NTT340,NTT341
HND,SPK,NTT342,NTT347
HND,KIX,NTT344,NTT349
HND,FUK,NTT345,NTT350
KIX,NRT,XXX302,XXX301
NGO,FUK,XXX304,XXX303
SPK,ITM,AAA301,XXX305
OKA,NRT,AAA303,AAA302
KIX,NGO,AAA305,AAA304
FUK,SPK,BBB302,BBB301
NGO,ITM,BBB304,BBB303
SPK,OKA,CCC301,BBB305
HND,UKB,CCC303,CCC302
KIX,FUK,CCC305,CCC304
NRT,KIX,XXX331,XXX332
FUK,NGO,XXX333,XXX334
ITM,SPK,XXX335,AAA331
NRT,OKA,AAA332,AAA333
NGO,KIX,AAA334,AAA335
SPK,FUK,BBB331,BBB332
ITM,NGO,BBB333,BBB334
OKA,SPK,BBB335,CCC331
UKB,HND,CCC332,CCC333
FUK,KIX,CCC334,CCC335
ITM,HND,NTT376,NTT361
SPK,KIX,NTT381,NTT366
OKA,HND,NTT378,NTT373
FUK,NRT,NTT364,NTT363
OKA,UKB,NTT367,NTT365
OKA,ITM,NTT369,NTT368
SPK,NGO,NTT371,NTT370
SPK,HND,NTT377,NTT372
KIX,HND,NTT379,NTT374
FUK,HND,NTT380,NTT375
HND,ITM,NTT391,NTT406
KIX,SPK,NTT396,NTT411
HND,OKA,NTT403,NTT408
NRT,FUK,NTT393,NTT394
UKB,OKA,NTT395,NTT397
ITM,OKA,NTT398,NTT399
NGO,SPK,NTT400,NTT401
HND,SPK,NTT402,NTT407
HND,KIX,NTT404,NTT409
HND,FUK,NTT405,NTT410
KIX,NRT,XXX362,XXX361
NGO,FUK,XXX364,XXX363
SPK,ITM,AAA361,XXX365
OKA,NRT,AAA363,AAA362
KIX,NGO,AAA365,AAA364
FUK,SPK,BBB362,BBB361
NGO,ITM,BBB364,BBB363
SPK,OKA,CCC361,BBB365
HND,UKB,CCC363,CCC362
KIX,FUK,CCC365,CCC364
NRT,KIX,XXX391,XXX392
FUK,NGO,XXX393,XXX394
ITM,SPK,XXX395,AAA391
NRT,OKA,AAA392,AAA393
NGO,KIX,AAA394,AAA395
SPK,FUK,BBB391,BBB392
ITM,NGO,BBB393,BBB394
OKA,SPK,BBB395,CCC391
UKB,HND,CCC392,CCC393
FUK,KIX,CCC394,CCC395
ITM,HND,NTT436,NTT421
SPK,KIX,NTT441,NTT426
OKA,HND,NTT438,NTT433
FUK,NRT,NTT424,NTT423
OKA,UKB,NTT427,NTT425
OKA,ITM,NTT429,NTT428
SPK,NGO,NTT431,NTT430
SPK,HND,NTT437,NTT432
KIX,HND,NTT439,NTT434
FUK,HND,NTT440,NTT435
HND,ITM,NTT451,NTT466
KIX,SPK,NTT456,NTT471
HND,OKA,NTT463,NTT468
NRT,FUK,NTT453,NTT454
UKB,OKA,NTT455,NTT457
ITM,OKA,NTT458,NTT459
NGO,SPK,NTT460,NTT461
HND,SPK,NTT462,NTT467
HND,KIX,NTT464,NTT469
HND,FUK,NTT465,NTT470
KIX,NRT,XXX422,XXX421
NGO,FUK,XXX424,XXX423
SPK,ITM,AAA421,XXX425
OKA,NRT,AAA423,AAA422
KIX,NGO,AAA425,AAA424
FUK,SPK,BBB422,BBB421
NGO,ITM,BBB424,BBB423
SPK,OKA,CCC421,BBB425
HND,UKB,CCC423,CCC422
KIX,FUK,CCC425,CCC424
NRT,KIX,XXX451,XXX452
FUK,NGO,XXX453,XXX454
ITM,SPK,XXX455,AAA451
NRT,OKA,AAA452,AAA453
NGO,KIX,AAA454,AAA455
SPK,FUK,BBB451,BBB452
ITM,NGO,BBB453,BBB454
OKA,SPK,BBB455,CCC451
UKB,HND,CCC452,CCC453
FUK,KIX,CCC454,CCC455
ITM,HND,NTT496,NTT481
SPK,KIX,NTT501,NTT486
OKA,HND,NTT498,NTT493
FUK,NRT,NTT484,NTT483
OKA,UKB,NTT487,NTT485
OKA,ITM,NTT489,NTT488
SPK,NGO,NTT491,NTT490
SPK,HND,NTT497,NTT492
KIX,HND,NTT499,NTT494
FUK,HND,NTT500,NTT495
HND,ITM,NTT511,NTT526
KIX,SPK,NTT516,NTT531
HND,OKA,NTT523,NTT528
NRT,FUK,NTT513,NTT514
UKB,OKA,NTT515,NTT517
ITM,OKA,NTT518,NTT519
NGO,SPK,NTT520,NTT521
HND,SPK,NTT522,NTT527
HND,KIX,NTT524,NTT529
HND,FUK,NTT525,NTT530
KIX,NRT,XXX482,XXX481
NGO,FUK,XXX484,XXX483
SPK,ITM,AAA481,XXX485
OKA,NRT,AAA483,AAA482
KIX,NGO,AAA485,AAA484
FUK,SPK,BBB482,BBB481
NGO,ITM,BBB484,BBB483
SPK,OKA,CCC481,BBB485
HND,UKB,CCC483,CCC482
KIX,FUK,CCC485,CCC484
NRT,KIX,XXX511,XXX512
FUK,NGO,XXX513,XXX514
ITM,SPK,XXX515,AAA511
NRT,OKA,AAA512,AAA513
NGO,KIX,AAA514,AAA515
SPK,FUK,BBB511,BBB512
ITM,NGO,BBB513,BBB514
OKA,SPK,BBB515,CCC511
UKB,HND,CCC512,CCC513
FUK,KIX,CCC514,CCC515
